new_name;labels;L_HMG2019_2_7p.dta
prenup;Zijn u en uw partner getrouwd op huwelijkse voorwaarden?;v52
prenup_date;op een later moment, namelijk...;v52_date
;Hebt u de huwelijkse voorwaarden getekend op het moment dat u trouwde / het gere;v52b
pot_prenup;Als u en uw partner gaan trouwen of een geregistreerd partnerschap aangaan, denk;v52um
prenup_divorce;Wat is er omschreven in de huwelijkse voorwaarden in het geval u en uw partner z;v53
prenup_divorce_other_beperkte;andere vorm van beperkte gemeenschap van goederen, namelijk:;v53and1
prenup_divorce_other;iets anders, namelijk:;v53and2
prenup_spec_hh_cost_division;Wat is er nog meer omschreven in de huwelijkse voorwaarden? Er zijn meerdere ant;v53b__1
prenup_spec_periodic_settlement;Wat is er nog meer omschreven in de huwelijkse voorwaarden? Er zijn meerdere ant;v53b__2
prenup_spec_final_settlement;Wat is er nog meer omschreven in de huwelijkse voorwaarden? Er zijn meerdere ant;v53b__3
prenup_spec_alimony;Wat is er nog meer omschreven in de huwelijkse voorwaarden? Er zijn meerdere ant;v53b__4
prenup_spec_pension_eq;Wat is er nog meer omschreven in de huwelijkse voorwaarden? Er zijn meerdere ant;v53b__5
pot_prenup_divorce;Voor welk soort huwelijkse voorwaarden zou u dan kiezen?;v53um
;andere vorm van beperkte gemeenschap van goederen, namelijk:;v53um_and4
;iets anders, namelijk:;v53um_and5
prenup_factor_other2;Wat speelde er een rol bij het besluit om op huwelijkse voorwaarden te trouwen? ;v54and
prenup_factor_richer;Wat speelde er een rol bij het besluit om op huwelijkse voorwaarden te trouwen? ;v54ja__1
prenup_factor_p_children;Wat speelde er een rol bij het besluit om op huwelijkse voorwaarden te trouwen? ;v54ja__10
prenup_factor_other;Wat speelde er een rol bij het besluit om op huwelijkse voorwaarden te trouwen? ;v54ja__11
prenup_factor_p_richer;Wat speelde er een rol bij het besluit om op huwelijkse voorwaarden te trouwen? ;v54ja__2
prenup_factor_house;Wat speelde er een rol bij het besluit om op huwelijkse voorwaarden te trouwen? ;v54ja__3
prenup_factor_p_house;Wat speelde er een rol bij het besluit om op huwelijkse voorwaarden te trouwen? ;v54ja__4
prenup_factor_legacy;Wat speelde er een rol bij het besluit om op huwelijkse voorwaarden te trouwen? ;v54ja__5
prenup_factor_p_legacy;Wat speelde er een rol bij het besluit om op huwelijkse voorwaarden te trouwen? ;v54ja__6
prenup_factor_company;Wat speelde er een rol bij het besluit om op huwelijkse voorwaarden te trouwen? ;v54ja__7
prenup_factor_p_company;Wat speelde er een rol bij het besluit om op huwelijkse voorwaarden te trouwen? ;v54ja__8
prenup_factor_children;Wat speelde er een rol bij het besluit om op huwelijkse voorwaarden te trouwen? ;v54ja__9
prenup_factor_no_other2;Wat speelde er een rol bij het besluit om niet op huwelijkse voorwaarden te trou;v54nand
prenup_factor_no_not_thought;Wat speelde er een rol bij het besluit om niet op huwelijkse voorwaarden te trou;v54nee__1
prenup_factor_no_forever;Wat speelde er een rol bij het besluit om niet op huwelijkse voorwaarden te trou;v54nee__2
prenup_factor_no_wealth;Wat speelde er een rol bij het besluit om niet op huwelijkse voorwaarden te trou;v54nee__3
prenup_factor_no_wealth_diff;Wat speelde er een rol bij het besluit om niet op huwelijkse voorwaarden te trou;v54nee__4
prenup_factor_no_reduce_trust;Wat speelde er een rol bij het besluit om niet op huwelijkse voorwaarden te trou;v54nee__5
prenup_factor_no_other;Wat speelde er een rol bij het besluit om niet op huwelijkse voorwaarden te trou;v54nee__6
pot_prenup_factor_richer;Wat zal een rol spelen bij het besluit om wel of niet op huwelijkse voorwaarden ;v54um__1
pot_prenup_factor_p_children;Wat zal een rol spelen bij het besluit om wel of niet op huwelijkse voorwaarden ;v54um__10
pot_prenup_factor_forever;Wat zal een rol spelen bij het besluit om wel of niet op huwelijkse voorwaarden ;v54um__11
pot_prenup_factor_no_wealth;Wat zal een rol spelen bij het besluit om wel of niet op huwelijkse voorwaarden ;v54um__12
pot_prenup_factor_no_w_diff;Wat zal een rol spelen bij het besluit om wel of niet op huwelijkse voorwaarden ;v54um__13
pot_prenup_factor_reduce_trust;Wat zal een rol spelen bij het besluit om wel of niet op huwelijkse voorwaarden ;v54um__14
pot_prenup_factor_p_richer;Wat zal een rol spelen bij het besluit om wel of niet op huwelijkse voorwaarden ;v54um__2
pot_prenup_factor_house;Wat zal een rol spelen bij het besluit om wel of niet op huwelijkse voorwaarden ;v54um__3
pot_prenup_factor_p_house;Wat zal een rol spelen bij het besluit om wel of niet op huwelijkse voorwaarden ;v54um__4
pot_prenup_factor_legacy;Wat zal een rol spelen bij het besluit om wel of niet op huwelijkse voorwaarden ;v54um__5
pot_prenup_factor_p_legacy;Wat zal een rol spelen bij het besluit om wel of niet op huwelijkse voorwaarden ;v54um__6
pot_prenup_factor_company;Wat zal een rol spelen bij het besluit om wel of niet op huwelijkse voorwaarden ;v54um__7
pot_prenup_factor_p_company;Wat zal een rol spelen bij het besluit om wel of niet op huwelijkse voorwaarden ;v54um__8
pot_prenup_factor_children;Wat zal een rol spelen bij het besluit om wel of niet op huwelijkse voorwaarden ;v54um__9
;Naar welk onderwijsniveau ging u in de eerste klas (brugklas) van het middelbaar;v5b
;Naar welk onderwijsniveau ging u in de eerste klas (brugklas) van het middelbaar;v5band
;Wat was het schooladvies voor de middelbare school van de leraar van Kind1 in de;v6b_1
;Wat was het schooladvies voor de middelbare school van de leraar van Kind10 in d;v6b_10
;Wat was het schooladvies voor de middelbare school van de leraar van Kind2 in de;v6b_2
;Wat was het schooladvies voor de middelbare school van de leraar van Kind3 in de;v6b_3
;Wat was het schooladvies voor de middelbare school van de leraar van Kind4 in de;v6b_4
;Wat was het schooladvies voor de middelbare school van de leraar van Kind5 in de;v6b_5
;Wat was het schooladvies voor de middelbare school van de leraar van Kind6 in de;v6b_6
;Wat was het schooladvies voor de middelbare school van de leraar van Kind7 in de;v6b_7
;Wat was het schooladvies voor de middelbare school van de leraar van Kind8 in de;v6b_8
;Wat was het schooladvies voor de middelbare school van de leraar van Kind9 in de;v6b_9
;Welk onderwijs zou u zelf hebben gekozen voor Kind1?;v6c_1
;Welk onderwijs zou u zelf hebben gekozen voor Kind10?;v6c_10
;Welk onderwijs zou u zelf hebben gekozen voor Kind2?;v6c_2
;Welk onderwijs zou u zelf hebben gekozen voor Kind3?;v6c_3
;Welk onderwijs zou u zelf hebben gekozen voor Kind4?;v6c_4
;Welk onderwijs zou u zelf hebben gekozen voor Kind5?;v6c_5
;Welk onderwijs zou u zelf hebben gekozen voor Kind6?;v6c_6
;Welk onderwijs zou u zelf hebben gekozen voor Kind7?;v6c_7
;Welk onderwijs zou u zelf hebben gekozen voor Kind8?;v6c_8
;Welk onderwijs zou u zelf hebben gekozen voor Kind9?;v6c_9
;Thuis geoefend zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te le;v6d1_1
;Thuis geoefend zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te le;v6d1_10
;Thuis geoefend zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te le;v6d1_2
;Thuis geoefend zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te le;v6d1_3
;Thuis geoefend zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te le;v6d1_4
;Thuis geoefend zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te le;v6d1_5
;Thuis geoefend zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te le;v6d1_6
;Thuis geoefend zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te le;v6d1_7
;Thuis geoefend zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te le;v6d1_8
;Thuis geoefend zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te le;v6d1_9
;Thuis geoefend mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen gemaa;v6d2_1
;Thuis geoefend mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen gemaa;v6d2_10
;Thuis geoefend mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen gemaa;v6d2_2
;Thuis geoefend mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen gemaa;v6d2_3
;Thuis geoefend mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen gemaa;v6d2_4
;Thuis geoefend mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen gemaa;v6d2_5
;Thuis geoefend mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen gemaa;v6d2_6
;Thuis geoefend mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen gemaa;v6d2_7
;Thuis geoefend mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen gemaa;v6d2_8
;Thuis geoefend mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen gemaa;v6d2_9
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6d3_1
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6d3_10
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6d3_2
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6d3_3
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6d3_4
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6d3_5
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6d3_6
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6d3_7
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6d3_8
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6d3_9
;Door zelf naar de leraar te gaan;v6e2_1
;Door zelf naar de leraar te gaan;v6e2_10
;Door zelf naar de leraar te gaan;v6e2_2
;Door zelf naar de leraar te gaan;v6e2_3
;Door zelf naar de leraar te gaan;v6e2_4
;Door zelf naar de leraar te gaan;v6e2_5
;Door zelf naar de leraar te gaan;v6e2_6
;Door zelf naar de leraar te gaan;v6e2_7
;Door zelf naar de leraar te gaan;v6e2_8
;Door zelf naar de leraar te gaan;v6e2_9
;Door naar het hoofd van de school te gaan;v6e3_1
;Door naar het hoofd van de school te gaan;v6e3_10
;Door naar het hoofd van de school te gaan;v6e3_2
;Door naar het hoofd van de school te gaan;v6e3_3
;Door naar het hoofd van de school te gaan;v6e3_4
;Door naar het hoofd van de school te gaan;v6e3_5
;Door naar het hoofd van de school te gaan;v6e3_6
;Door naar het hoofd van de school te gaan;v6e3_7
;Door naar het hoofd van de school te gaan;v6e3_8
;Door naar het hoofd van de school te gaan;v6e3_9
;Ik voelde me goed geïnformeerd over hoe de overstap van basisschool naar middelb;v6f1_1
;Ik voelde me goed geïnformeerd over hoe de overstap van basisschool naar middelb;v6f1_10
;Ik voelde me goed geïnformeerd over hoe de overstap van basisschool naar middelb;v6f1_2
;Ik voelde me goed geïnformeerd over hoe de overstap van basisschool naar middelb;v6f1_3
;Ik voelde me goed geïnformeerd over hoe de overstap van basisschool naar middelb;v6f1_4
;Ik voelde me goed geïnformeerd over hoe de overstap van basisschool naar middelb;v6f1_5
;Ik voelde me goed geïnformeerd over hoe de overstap van basisschool naar middelb;v6f1_6
;Ik voelde me goed geïnformeerd over hoe de overstap van basisschool naar middelb;v6f1_7
;Ik voelde me goed geïnformeerd over hoe de overstap van basisschool naar middelb;v6f1_8
;Ik voelde me goed geïnformeerd over hoe de overstap van basisschool naar middelb;v6f1_9
;Ik was het eens met het middelbare schooladvies van de leraar voor Kind1;v6f2_1
;Ik was het eens met het middelbare schooladvies van de leraar voor Kind10;v6f2_10
;Ik was het eens met het middelbare schooladvies van de leraar voor Kind2;v6f2_2
;Ik was het eens met het middelbare schooladvies van de leraar voor Kind3;v6f2_3
;Ik was het eens met het middelbare schooladvies van de leraar voor Kind4;v6f2_4
;Ik was het eens met het middelbare schooladvies van de leraar voor Kind5;v6f2_5
;Ik was het eens met het middelbare schooladvies van de leraar voor Kind6;v6f2_6
;Ik was het eens met het middelbare schooladvies van de leraar voor Kind7;v6f2_7
;Ik was het eens met het middelbare schooladvies van de leraar voor Kind8;v6f2_8
;Ik was het eens met het middelbare schooladvies van de leraar voor Kind9;v6f2_9
;De uitslag van de cito-toets klopte met het niveau van Kind1;v6f3_1
;De uitslag van de cito-toets klopte met het niveau van Kind10;v6f3_10
;De uitslag van de cito-toets klopte met het niveau van Kind2;v6f3_2
;De uitslag van de cito-toets klopte met het niveau van Kind3;v6f3_3
;De uitslag van de cito-toets klopte met het niveau van Kind4;v6f3_4
;De uitslag van de cito-toets klopte met het niveau van Kind5;v6f3_5
;De uitslag van de cito-toets klopte met het niveau van Kind6;v6f3_6
;De uitslag van de cito-toets klopte met het niveau van Kind7;v6f3_7
;De uitslag van de cito-toets klopte met het niveau van Kind8;v6f3_8
;De uitslag van de cito-toets klopte met het niveau van Kind9;v6f3_9
;Kind1 was gelukkig op school;v6g1_1
;Kind10 was gelukkig op school;v6g1_10
;Kind2 was gelukkig op school;v6g1_2
;Kind3 was gelukkig op school;v6g1_3
;Kind4 was gelukkig op school;v6g1_4
;Kind5 was gelukkig op school;v6g1_5
;Kind6 was gelukkig op school;v6g1_6
;Kind7 was gelukkig op school;v6g1_7
;Kind8 was gelukkig op school;v6g1_8
;Kind9 was gelukkig op school;v6g1_9
;Kind1 verveelde zich regelmatig op school omdat het te gemakkelijk was;v6g2_1
;Kind10 verveelde zich regelmatig op school omdat het te gemakkelijk was;v6g2_10
;Kind2 verveelde zich regelmatig op school omdat het te gemakkelijk was;v6g2_2
;Kind3 verveelde zich regelmatig op school omdat het te gemakkelijk was;v6g2_3
;Kind4 verveelde zich regelmatig op school omdat het te gemakkelijk was;v6g2_4
;Kind5 verveelde zich regelmatig op school omdat het te gemakkelijk was;v6g2_5
;Kind6 verveelde zich regelmatig op school omdat het te gemakkelijk was;v6g2_6
;Kind7 verveelde zich regelmatig op school omdat het te gemakkelijk was;v6g2_7
;Kind8 verveelde zich regelmatig op school omdat het te gemakkelijk was;v6g2_8
;Kind9 verveelde zich regelmatig op school omdat het te gemakkelijk was;v6g2_9
;Kind1 kreeg teveel huiswerk en toetsen;v6g3_1
;Kind10 kreeg teveel huiswerk en toetsen;v6g3_10
;Kind2 kreeg teveel huiswerk en toetsen;v6g3_2
;Kind3 kreeg teveel huiswerk en toetsen;v6g3_3
;Kind4 kreeg teveel huiswerk en toetsen;v6g3_4
;Kind5 kreeg teveel huiswerk en toetsen;v6g3_5
;Kind6 kreeg teveel huiswerk en toetsen;v6g3_6
;Kind7 kreeg teveel huiswerk en toetsen;v6g3_7
;Kind8 kreeg teveel huiswerk en toetsen;v6g3_8
;Kind9 kreeg teveel huiswerk en toetsen;v6g3_9
;Welk onderwijs zou u zelf kiezen voor Kind1?;v6h_1
;Welk onderwijs zou u zelf kiezen voor Kind10?;v6h_10
;Welk onderwijs zou u zelf kiezen voor Kind2?;v6h_2
;Welk onderwijs zou u zelf kiezen voor Kind3?;v6h_3
;Welk onderwijs zou u zelf kiezen voor Kind4?;v6h_4
;Welk onderwijs zou u zelf kiezen voor Kind5?;v6h_5
;Welk onderwijs zou u zelf kiezen voor Kind6?;v6h_6
;Welk onderwijs zou u zelf kiezen voor Kind7?;v6h_7
;Welk onderwijs zou u zelf kiezen voor Kind8?;v6h_8
;Welk onderwijs zou u zelf kiezen voor Kind9?;v6h_9
;Thuis oefenen zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te lez;v6i1_1
;Thuis oefenen zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te lez;v6i1_10
;Thuis oefenen zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te lez;v6i1_2
;Thuis oefenen zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te lez;v6i1_3
;Thuis oefenen zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te lez;v6i1_4
;Thuis oefenen zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te lez;v6i1_5
;Thuis oefenen zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te lez;v6i1_6
;Thuis oefenen zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te lez;v6i1_7
;Thuis oefenen zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te lez;v6i1_8
;Thuis oefenen zonder speciaal lesmateriaal, bijvoorbeeld door meer boeken te lez;v6i1_9
;Thuis oefenen mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen maken ;v6i2_1
;Thuis oefenen mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen maken ;v6i2_10
;Thuis oefenen mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen maken ;v6i2_2
;Thuis oefenen mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen maken ;v6i2_3
;Thuis oefenen mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen maken ;v6i2_4
;Thuis oefenen mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen maken ;v6i2_5
;Thuis oefenen mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen maken ;v6i2_6
;Thuis oefenen mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen maken ;v6i2_7
;Thuis oefenen mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen maken ;v6i2_8
;Thuis oefenen mét speciaal lesmateriaal, bijvoorbeeld online cito-toetsen maken ;v6i2_9
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6i3_1
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6i3_10
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6i3_2
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6i3_3
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6i3_4
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6i3_5
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6i3_6
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6i3_7
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6i3_8
;Door naar een externe voorbereidingscursus te gaan, of naar bijles;v6i3_9
;Door zelf naar de leraar te gaan;v6j2_1
;Door zelf naar de leraar te gaan;v6j2_10
;Door zelf naar de leraar te gaan;v6j2_2
;Door zelf naar de leraar te gaan;v6j2_3
;Door zelf naar de leraar te gaan;v6j2_4
;Door zelf naar de leraar te gaan;v6j2_5
;Door zelf naar de leraar te gaan;v6j2_6
;Door zelf naar de leraar te gaan;v6j2_7
;Door zelf naar de leraar te gaan;v6j2_8
;Door zelf naar de leraar te gaan;v6j2_9
;Door naar het hoofd van de school te gaan;v6j3_1
;Door naar het hoofd van de school te gaan;v6j3_10
;Door naar het hoofd van de school te gaan;v6j3_2
;Door naar het hoofd van de school te gaan;v6j3_3
;Door naar het hoofd van de school te gaan;v6j3_4
;Door naar het hoofd van de school te gaan;v6j3_5
;Door naar het hoofd van de school te gaan;v6j3_6
;Door naar het hoofd van de school te gaan;v6j3_7
;Door naar het hoofd van de school te gaan;v6j3_8
;Door naar het hoofd van de school te gaan;v6j3_9
;Geeft u aan welke gebeurtenissen er in uw gezin plaatsvonden. Ernstige ziekte va;v7a_10_aanwezig
;Geeft u aan in welk jaar gebeurtenissen in uw gezin plaatsvonden. Ernstige ziekt;v7a_10_jaar
;Geeft u aan in welke maand gebeurtenissen in uw gezin plaatsvonden. Ernstige zie;v7a_10_maand
;Geeft u aan welke gebeurtenissen er in uw gezin plaatsvonden. Overlijden van par;v7a_1_aanwezig
;Geeft u aan in welk jaar gebeurtenissen in uw gezin plaatsvonden. Overlijden van;v7a_1_jaar
;Geeft u aan in welke maand gebeurtenissen in uw gezin plaatsvonden. Overlijden v;v7a_1_maand
;Geeft u aan welke gebeurtenissen er in uw gezin plaatsvonden. Overlijden van kin;v7a_2_aanwezig
;Geeft u aan in welk jaar gebeurtenissen in uw gezin plaatsvonden. Overlijden van;v7a_2_jaar
;Geeft u aan in welke maand gebeurtenissen in uw gezin plaatsvonden. Overlijden v;v7a_2_maand
;Geeft u aan welke gebeurtenissen er in uw gezin plaatsvonden. Overlijden van (sc;v7a_3_aanwezig
;Geeft u aan in welk jaar gebeurtenissen in uw gezin plaatsvonden. Overlijden van;v7a_3_jaar
;Geeft u aan in welke maand gebeurtenissen in uw gezin plaatsvonden. Overlijden v;v7a_3_maand
;Geeft u aan welke gebeurtenissen er in uw gezin plaatsvonden. Overlijden van and;v7a_4_aanwezig
;Geeft u aan in welk jaar gebeurtenissen in uw gezin plaatsvonden. Overlijden van;v7a_4_jaar
;Geeft u aan in welke maand gebeurtenissen in uw gezin plaatsvonden. Overlijden v;v7a_4_maand
;Geeft u aan welke gebeurtenissen er in uw gezin plaatsvonden. Scheiding;v7a_5_aanwezig
;Geeft u aan in welk jaar gebeurtenissen in uw gezin plaatsvonden. Scheiding;v7a_5_jaar
;Geeft u aan in welke maand gebeurtenissen in uw gezin plaatsvonden. Scheiding;v7a_5_maand
;Geeft u aan welke gebeurtenissen er in uw gezin plaatsvonden. Verlies van baan v;v7a_7_aanwezig
;Geeft u aan in welk jaar gebeurtenissen in uw gezin plaatsvonden. Verlies van ba;v7a_7_jaar
;Geeft u aan in welke maand gebeurtenissen in uw gezin plaatsvonden. Verlies van ;v7a_7_maand
;Wat voor effect had deze gebeurtenis op uw gezin? Overlijden van partner;v7b_1
;Wat voor effect had deze gebeurtenis op uw gezin? Ernstige ziekte van iemand uit;v7b_10
;Wat voor effect had deze gebeurtenis op uw gezin? Overlijden van kind;v7b_2
;Wat voor effect had deze gebeurtenis op uw gezin? Overlijden van (schoon-)ouder;v7b_3
;Wat voor effect had deze gebeurtenis op uw gezin? Overlijden van ander familieli;v7b_4
;Wat voor effect had deze gebeurtenis op uw gezin? Scheiding;v7b_5
;Wat voor effect had deze gebeurtenis op uw gezin? Verlies van baan van uzelf of ;v7b_7
;Hebt u de school geïnformeerd over deze gebeurtenis? Overlijden van partner;v7c_1
;Hebt u de school geïnformeerd over deze gebeurtenis? Ernstige ziekte van iemand ;v7c_10
;Hebt u de school geïnformeerd over deze gebeurtenis? Overlijden van kind;v7c_2
;Hebt u de school geïnformeerd over deze gebeurtenis? Overlijden van (schoon-)oud;v7c_3
;Hebt u de school geïnformeerd over deze gebeurtenis? Overlijden van ander famili;v7c_4
;Hebt u de school geïnformeerd over deze gebeurtenis? Scheiding;v7c_5
;Hebt u de school geïnformeerd over deze gebeurtenis? Verlies van baan van uzelf ;v7c_7
;Heeft uw kind(eren) extra ondersteuning met school gekregen van uzelf/familieled;v7d_1
;Heeft uw kind(eren) extra ondersteuning met school gekregen van uzelf/familieled;v7d_10
;Heeft uw kind(eren) extra ondersteuning met school gekregen van uzelf/familieled;v7d_2
;Heeft uw kind(eren) extra ondersteuning met school gekregen van uzelf/familieled;v7d_3
;Heeft uw kind(eren) extra ondersteuning met school gekregen van uzelf/familieled;v7d_4
;Heeft uw kind(eren) extra ondersteuning met school gekregen van uzelf/familieled;v7d_5
;Heeft uw kind(eren) extra ondersteuning met school gekregen van uzelf/familieled;v7d_7
;Heeft uw kind(eren) extra ondersteuning met school gekregen van een leraar/schoo;v7e_1
;Heeft uw kind(eren) extra ondersteuning met school gekregen van een leraar/schoo;v7e_10
;Heeft uw kind(eren) extra ondersteuning met school gekregen van een leraar/schoo;v7e_2
;Heeft uw kind(eren) extra ondersteuning met school gekregen van een leraar/schoo;v7e_3
;Heeft uw kind(eren) extra ondersteuning met school gekregen van een leraar/schoo;v7e_4
;Heeft uw kind(eren) extra ondersteuning met school gekregen van een leraar/schoo;v7e_5
;Heeft uw kind(eren) extra ondersteuning met school gekregen van een leraar/schoo;v7e_7
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a1_1
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a1_10
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a1_2
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a1_3
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a1_4
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a1_5
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a1_6
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a1_7
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a1_8
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a1_9
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a2_1
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a2_10
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a2_2
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a2_3
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a2_4
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a2_5
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a2_6
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a2_7
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a2_8
;Ongeveer hoeveel uur per week gemiddeld besteedt/besteedde uw kind achter het s;v8a2_9
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind1 zelf huiswerk (zonder hul;v8b1_1
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind10 zelf huiswerk (zonder hu;v8b1_10
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind2 zelf huiswerk (zonder hul;v8b1_2
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind3 zelf huiswerk (zonder hul;v8b1_3
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind4 zelf huiswerk (zonder hul;v8b1_4
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind5 zelf huiswerk (zonder hul;v8b1_5
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind6 zelf huiswerk (zonder hul;v8b1_6
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind7 zelf huiswerk (zonder hul;v8b1_7
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind8 zelf huiswerk (zonder hul;v8b1_8
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind9 zelf huiswerk (zonder hul;v8b1_9
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind1 zelf huiswerk (zonder hul;v8b2_1
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind10 zelf huiswerk (zonder hu;v8b2_10
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind2 zelf huiswerk (zonder hul;v8b2_2
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind3 zelf huiswerk (zonder hul;v8b2_3
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind4 zelf huiswerk (zonder hul;v8b2_4
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind5 zelf huiswerk (zonder hul;v8b2_5
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind6 zelf huiswerk (zonder hul;v8b2_6
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind7 zelf huiswerk (zonder hul;v8b2_7
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind8 zelf huiswerk (zonder hul;v8b2_8
;Ongeveer hoeveel uur per week gemiddeld maakt(e) Kind9 zelf huiswerk (zonder hul;v8b2_9
;Ongeveer hoeveel uur per week helpt/hielp u Kind1 met huiswerk maken in: de bove;v8c1_1
;Ongeveer hoeveel uur per week helpt/hielp u Kind10 met huiswerk maken in: de bov;v8c1_10
