new_name;labels;L_HMG2019_2_7p.dta
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b3_10
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b3_2
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b3_3
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b3_4
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b3_5
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b3_6
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b3_7
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b3_8
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b3_9
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind10 de universiteit is;v13b_10
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind2 de universiteit is.;v13b_2
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind3 de universiteit is.;v13b_3
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind4 de universiteit is.;v13b_4
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind5 de universiteit is.;v13b_5
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind6 de universiteit is.;v13b_6
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind7 de universiteit is.;v13b_7
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind8 de universiteit is.;v13b_8
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind9 de universiteit is.;v13b_9
;Stelt u zich voor dat Kind1s hoogste opleiding de middelbare school is. Dat Kind;v14a_1
;Stelt u zich voor dat Kind10s hoogste opleiding de middelbare school is. Dat Kin;v14a_10
;Stelt u zich voor dat Kind2s hoogste opleiding de middelbare school is. Dat Kind;v14a_2
;Stelt u zich voor dat Kind3s hoogste opleiding de middelbare school is. Dat Kind;v14a_3
;Stelt u zich voor dat Kind4s hoogste opleiding de middelbare school is. Dat Kind;v14a_4
;Stelt u zich voor dat Kind5s hoogste opleiding de middelbare school is. Dat Kind;v14a_5
;Stelt u zich voor dat Kind6s hoogste opleiding de middelbare school is. Dat Kind;v14a_6
;Stelt u zich voor dat Kind7s hoogste opleiding de middelbare school is. Dat Kind;v14a_7
;Stelt u zich voor dat Kind8s hoogste opleiding de middelbare school is. Dat Kind;v14a_8
;Stelt u zich voor dat Kind9s hoogste opleiding de middelbare school is. Dat Kind;v14a_9
;Stelt u zich voor dat Kind1s hoogste opleiding de universiteit is. Dat Kind1 40 ;v14b_1
;Stelt u zich voor dat Kind10s hoogste opleiding de universiteit is. Dat Kind10 4;v14b_10
;Stelt u zich voor dat Kind2s hoogste opleiding de universiteit is. Dat Kind2 40 ;v14b_2
;Stelt u zich voor dat Kind3s hoogste opleiding de universiteit is. Dat Kind3 40 ;v14b_3
;Stelt u zich voor dat Kind4s hoogste opleiding de universiteit is. Dat Kind4 40 ;v14b_4
;Stelt u zich voor dat Kind5s hoogste opleiding de universiteit is. Dat Kind5 40 ;v14b_5
;Stelt u zich voor dat Kind6s hoogste opleiding de universiteit is. Dat Kind6 40 ;v14b_6
;Stelt u zich voor dat Kind7s hoogste opleiding de universiteit is. Dat Kind7 40 ;v14b_7
;Stelt u zich voor dat Kind8s hoogste opleiding de universiteit is. Dat Kind8 40 ;v14b_8
;Stelt u zich voor dat Kind9s hoogste opleiding de universiteit is. Dat Kind9 40 ;v14b_9
