;men_unmarried;men_married;men_widowed;men_divorced;women_unmarried;women_married;women_widowed;women_divorced
43.0;0.0028288593937503786;0.0038044222691799344;1.3431766875668312e-05;0.0006422826706001392;0.002224645367236358;0.004163273110414367;4.948923731195437e-05;0.00094503613253031
44.0;0.002825986288536332;0.004034773479716129;1.766959706638719e-05;0.000728834965173296;0.0022066884596485662;0.004389961111802652;5.516362010969659e-05;0.0010588110990065592
45.0;0.0027912217154463666;0.004228851736924983;2.0901840432189725e-05;0.0008275979569061512;0.002181620616656009;0.004572546948155319;6.306465944832501e-05;0.0011624583696032938
46.0;0.002897023814953636;0.004626561326179397;2.6791706120985456e-05;0.0009505668600673499;0.0022489231062950525;0.004971477607125703;7.283321717608378e-05;0.0013429612046757776
47.0;0.0028923550189808105;0.0049733451255148334;3.411812441680453e-05;0.0010727456592946856;0.002217749914722646;0.005206641268895426;8.89226063747453e-05;0.001466217418358381
48.0;0.0028754036982179348;0.005244063464308384;3.857143749857692e-05;0.0011978693913664194;0.0021603596380720632;0.005502930244093991;0.00010127695879514609;0.001593208668819245
49.0;0.002803863378388172;0.00544625824374692;4.826816759598452e-05;0.001288228550348188;0.0020569996779967333;0.005663249515037797;0.00012469276628962667;0.0016760259266141411
50.0;0.0025054914019094227;0.005348213528317576;5.150041096178705e-05;0.0012692660559354798;0.0018336157476046024;0.005523472946374425;0.0001259856636359477;0.0016519636704465
51.0;0.0023518521005882753;0.005373137716049432;5.774941480233862e-05;0.0013187552932474342;0.0016962094907428192;0.005488923856175513;0.00014308063965952554;0.001666975645189894
52.0;0.0022076940464734822;0.00550407948617961;6.536314361956237e-05;0.0013613490780456765;0.0015939269451227566;0.005614406726399003;0.00017023148393226684;0.001662306849217068
53.0;0.002098516048339708;0.0056717251754192346;7.635277106329099e-05;0.0014386356083035327;0.0015062254084639813;0.005693919913197745;0.00019163611777691473;0.0017390187584321148
54.0;0.002026616590358189;0.005829889617452505;9.466881680283869e-05;0.001461548622385555;0.0014452437502958401;0.0058642950523907144;0.00023013572764514048;0.0017595614607125488
55.0;0.0018768559810760051;0.0058159550571643785;9.847568121145057e-05;0.0014522110304399033;0.0013605589741118136;0.005817607092662456;0.00025118122333803254;0.0017052597721670662
56.0;0.0017172549864357112;0.005757774676579933;0.00010960896391588152;0.001424629220385055;0.0012570553587757814;0.0057720683750198155;0.00028486838197273005;0.0016736556148125525
57.0;0.0016295534497769357;0.005753752329280268;0.00011880290060083095;0.0013897928196647388;0.0011686355458134943;0.005770703650043143;0.0003222905773856883;0.0016268239998235914
58.0;0.0014809420825803703;0.005670001312290806;0.0001361133595154623;0.0013378614429208448;0.001098172640438999;0.0056462263666445705;0.0003558340807596835;0.001528061008090736
59.0;0.001419529458630122;0.005627551182753266;0.00014961695402148178;0.0013227058129167484;0.0010118358287568958;0.005629275045881695;0.0004025938681182935;0.0014863291548567077
60.0;0.0012754432321456803;0.005572746700795326;0.00016218678933293607;0.0012514528036083902;0.0009214766697751271;0.0054886365456541086;0.000451723967278492;0.0014154352837001056
61.0;0.0011761056193700156;0.005476354020864059;0.00018696732180408884;0.001194708975630968;0.0008446211052993779;0.005406250253641319;0.00047176387614646776;0.001374062568617833
62.0;0.0010633362397186829;0.005466010842093491;0.00019975264000659664;0.0011404072870854853;0.0007667599539987124;0.0052889557332778635;0.0005486912682525681;0.0013056826645235218
63.0;0.0009618437980324832;0.005343616559975102;0.00021770954759438852;0.0010601039963528801;0.0006980927393829963;0.005182866323249189;0.0005957383661325828;0.0012607903955540421
64.0;0.0008823306112337408;0.005310647677643916;0.00024134083797992258;0.001034748842838918;0.0006311493878957083;0.005060112902979043;0.0006442220166196208;0.0012084998806583922
65.0;0.0008130169479448643;0.005261804889005122;0.0002618835402603565;0.0009690265610675999;0.0005711733165524835;0.004935491964319768;0.0007271829296752191;0.0011643977156227754
66.0;0.0007381725571189478;0.005278397071616241;0.0002909737305525793;0.0009509978258494569;0.0005391381934158628;0.004924358681615337;0.0007866562076059858;0.0011269755202098172
67.0;0.0006637591320751384;0.005106369896925196;0.00031079815652950153;0.0008765125731752963;0.00048174791676528004;0.004678708185814345;0.0008181885373301483;0.001070231692232395
68.0;0.0006112531342884349;0.005095092958960062;0.0003416840375805035;0.0008571909406108322;0.00044281734111494724;0.004635396124712591;0.0009272228802032204;0.0010606067897653384
69.0;0.0005579570325678686;0.005156505582910311;0.0003783879566899501;0.0008198405728282251;0.0004163129455153665;0.004607167865984582;0.0010460257808040515;0.0010307264955392527
70.0;0.000513926695162603;0.005305116950106876;0.00042924191897857663;0.0007911813483181093;0.0003805427856004851;0.00467411121747187;0.001179697000887574;0.0009947408527333178
71.0;0.00047952126022439385;0.005482315714183206;0.0005049482413687071;0.0007834239642401832;0.00037242626337080317;0.00478300190508424;0.0013797369514155753;0.0010374064651619114
72.0;0.0004601996276599298;0.005588189641320827;0.0005590344470231362;0.000760582777788512;0.00036423791351077007;0.004800886985041681;0.0015672070666321223;0.000974198150452884
73.0;0.0002902554542490676;0.003902036018827171;0.00042938557423927897;0.0004952515112712995;0.00024586597869204614;0.0032828100175697566;0.0012537512877796276;0.0006874622500910235
74.0;0.0002769673426341016;0.003967399162446734;0.00048225071017773816;0.0004919474402751458;0.00023882687091763175;0.0032777820834451747;0.001443088921385305;0.000675251552931325
75.0;0.0002380367669837689;0.0036721157740730844;0.0004874941271933734;0.00043075029921595115;0.00022381489617423773;0.0029385401852966113;0.0014720354564168256;0.0006265524195532336
76.0;0.0002128970963608603;0.0032537198272775338;0.0004714765656250631;0.000372354435740452;0.00019709501768360347;0.0025605113667584167;0.001478715426039484;0.0005501278208595914
77.0;0.00018610539023987483;0.002952762056106142;0.00047219484192857476;0.00033873910473610565;0.0001835195955472328;0.0022841186451671245;0.0015071591676585464;0.0004985555822674532
78.0;0.00018445335474179798;0.002867789969400711;0.0004935276481428715;0.00031884285112883224;0.00018488432052390498;0.0021593540512471468;0.0016526101191196604;0.000493312165251818
79.0;0.00016606548137189912;0.0025716446494628478;0.0004971190296604299;0.0002770391702644528;0.00018035917981178143;0.0019241185618470735;0.001712011569420076;0.0004308221268463023
80.0;0.00014616922776462574;0.0023557307926272385;0.0005019314808939581;0.00024845177338468817;0.0001678611721306783;0.0016788990318281876;0.001774645263086294;0.00038772554863560185
81.0;0.00013561056610300414;0.0020215886562336078;0.0004844055390882732;0.0001896967717574332;0.00015672788942624737;0.001403583724692163;0.0017554672857825323;0.00031819640245567174
