new_name;labels;cf19l_EN_1.0p.dta;cf18k_EN_1.0p.dta;cf17j_EN_1.0p.dta;cf16i_EN_1.0p.dta;cf15h_EN_1.0p.dta;cf14g_EN_1.1p.dta;cf13f_EN_1.1p_corrected.dta;cf12e_EN_2.1p.dta;cf11d_EN_1.1p.dta;cf10c_EN_1.0p.dta;cf09b_EN_2.2p.dta;cf08a_2p_EN.dta
child6_partner;Current partner biological parent: sixth child;cf19l118;cf18k118;cf17j118;cf16i118;cf15h118;cf14g118;cf13f118;cf12e118;cf11d118;cf10c118;cf09b118;cf08a118
child7_partner;Current partner biological parent: seventh child;cf19l119;cf18k119;cf17j119;cf16i119;cf15h119;cf14g119;cf13f119;cf12e119;cf11d119;cf10c119;cf09b119;cf08a119
child8_partner;Current partner biological parent: eighth child;cf19l120;cf18k120;cf17j120;cf16i120;cf15h120;cf14g120;cf13f120;cf12e120;cf11d120;cf10c120;cf09b120;cf08a120
child9_partner;Current partner biological parent: ninth child;cf19l121;cf18k121;cf17j121;cf16i121;cf15h121;cf14g121;cf13f121;cf12e121;cf11d121;cf10c121;cf09b121;cf08a121
child10_partner;Current partner biological parent: tenth child;cf19l122;cf18k122;cf17j122;cf16i122;cf15h122;cf14g122;cf13f122;cf12e122;cf11d122;cf10c122;cf09b122;cf08a122
child11_partner;Current partner biological parent: eleventh child;cf19l123;cf18k123;cf17j123;cf16i123;cf15h123;cf14g123;cf13f123;cf12e123;cf11d123;cf10c123;cf09b123;cf08a123
child12_partner;Current partner biological parent: twelfth child;cf19l124;cf18k124;cf17j124;cf16i124;cf15h124;cf14g124;cf13f124;cf12e124;cf11d124;cf10c124;cf09b124;cf08a124
child13_partner;Current partner biological parent: thirteenth child;cf19l125;cf18k125;cf17j125;cf16i125;cf15h125;cf14g125;cf13f125;cf12e125;cf11d125;cf10c125;cf09b125;cf08a125
child14_partner;Current partner biological parent: fourteenth child;cf19l126;cf18k126;cf17j126;cf16i126;cf15h126;cf14g126;cf13f126;cf12e126;cf11d126;cf10c126;cf09b126;cf08a126
child15_partner;Current partner biological parent: fifteenth child;cf19l127;cf18k127;cf17j127;cf16i127;cf15h127;cf14g127;cf13f127;cf12e127;cf11d127;cf10c127;cf09b127;cf08a127
children_future;Do you think you will have [more] children in the future?;cf19l128;cf18k128;cf17j128;cf16i128;cf15h128;cf14g128;cf13f128;cf12e128;cf11d128;cf10c128;cf09b128;cf08a128
children_future_amount;How many [more] children do you think you will have in the future?;cf19l129;cf18k129;cf17j129;cf16i129;cf15h129;cf14g129;cf13f129;cf12e129;cf11d129;cf10c129;cf09b129;cf08a129
children_future_time;Within how many years do you hope to have your [first/next] child?;cf19l130;cf18k130;cf17j130;cf16i130;cf15h130;cf14g130;cf13f130;cf12e130;cf11d130;cf10c130;cf09b130;cf08a130
help_father_household;Did you receive any help from your father over the past 3 months in doing househ;cf19l131;cf18k131;cf17j131;cf16i131;cf15h131;cf14g131;cf13f131;cf12e131;cf11d131;cf10c131;cf09b131;cf08a131
help_mother_household;Did you receive any help from your mother over the past 3 months in doing househ;cf19l132;cf18k132;cf17j132;cf16i132;cf15h132;cf14g132;cf13f132;cf12e132;cf11d132;cf10c132;cf09b132;cf08a132
help_father_child;Did you receive any help from your father over the past 3 months in tending to t;cf19l133;cf18k133;cf17j133;cf16i133;cf15h133;cf14g133;cf13f133;cf12e133;cf11d133;cf10c133;cf09b133;cf08a133
help_mother_child;Did you receive any help from your mother over the past 3 months in tending to t;cf19l134;cf18k134;cf17j134;cf16i134;cf15h134;cf14g134;cf13f134;cf12e134;cf11d134;cf10c134;cf09b134;cf08a134
help_father_practical;Did you receive any help from your father over the past 3 months in practical ma;cf19l135;cf18k135;cf17j135;cf16i135;cf15h135;cf14g135;cf13f135;cf12e135;cf11d135;cf10c135;cf09b135;cf08a135
help_mother_practical;Did you receive any help from your mother over the past 3 months in practical ma;cf19l136;cf18k136;cf17j136;cf16i136;cf15h136;cf14g136;cf13f136;cf12e136;cf11d136;cf10c136;cf09b136;cf08a136
receive_father;Did you receive any valuable items or a sum of money from your father;cf19l137;cf18k137;cf17j137;cf16i137;cf15h137;cf14g137;cf13f137;cf12e137;cf11d137;cf10c137;cf09b137;cf08a137
receive_mother;Did you receive any valuable items or a sum of money from your mother;cf19l138;cf18k138;cf17j138;cf16i138;cf15h138;cf14g138;cf13f138;cf12e138;cf11d138;cf10c138;cf09b138;cf08a138
receive_parents;Did you receive any valuable items or a sum of money from your father and your m;cf19l139;cf18k139;cf17j139;cf16i139;cf15h139;cf14g139;cf13f139;cf12e139;cf11d139;cf10c139;cf09b139;cf08a139
receive_father_500;Did that sum amount to more or to less than 500 euros? - your father;cf19l140;cf18k140;cf17j140;cf16i140;cf15h140;cf14g140;cf13f140;cf12e140;cf11d140;cf10c140;cf09b140;cf08a140
receive_mother_500;Did that sum amount to more or to less than 500 euros? - your mother;cf19l141;cf18k141;cf17j141;cf16i141;cf15h141;cf14g141;cf13f141;cf12e141;cf11d141;cf10c141;cf09b141;cf08a141
receive_parents_500;Did that sum amount to more or to less than 500 euros? - your father and mother;cf19l142;cf18k142;cf17j142;cf16i142;cf15h142;cf14g142;cf13f142;cf12e142;cf11d142;cf10c142;cf09b142;cf08a142
interest_father;Has your father displayed any interest in your personal life;cf19l143;cf18k143;cf17j143;cf16i143;cf15h143;cf14g143;cf13f143;cf12e143;cf11d143;cf10c143;cf09b143;cf08a143
interest_mother;Has your mother displayed any interest in your personal life;cf19l144;cf18k144;cf17j144;cf16i144;cf15h144;cf14g144;cf13f144;cf12e144;cf11d144;cf10c144;cf09b144;cf08a144
counsel_father;Did you receive any counsel or advice from your father;cf19l145;cf18k145;cf17j145;cf16i145;cf15h145;cf14g145;cf13f145;cf12e145;cf11d145;cf10c145;cf09b145;cf08a145
counsel_mother;Did you receive any counsel or advice from your mother;cf19l146;cf18k146;cf17j146;cf16i146;cf15h146;cf14g146;cf13f146;cf12e146;cf11d146;cf10c146;cf09b146;cf08a146
provide_father_household;Did you provide any help to your father over the past 3 months in doing househol;cf19l147;cf18k147;cf17j147;cf16i147;cf15h147;cf14g147;cf13f147;cf12e147;cf11d147;cf10c147;cf09b147;cf08a147
provide_mother_household;Did you provide any help to your mother over the past 3 months in doing househol;cf19l148;cf18k148;cf17j148;cf16i148;cf15h148;cf14g148;cf13f148;cf12e148;cf11d148;cf10c148;cf09b148;cf08a148
provide_father_practical;Did you provide any help to your father over the past 3 months in practical matt;cf19l149;cf18k149;cf17j149;cf16i149;cf15h149;cf14g149;cf13f149;cf12e149;cf11d149;cf10c149;cf09b149;cf08a149
provide_mother_practical;Did you provide any help to your mother over the past 3 months in practical matt;cf19l150;cf18k150;cf17j150;cf16i150;cf15h150;cf14g150;cf13f150;cf12e150;cf11d150;cf10c150;cf09b150;cf08a150
give_father;Did you give any valuable items or a sum of money to your father;cf19l151;cf18k151;cf17j151;cf16i151;cf15h151;cf14g151;cf13f151;cf12e151;cf11d151;cf10c151;cf09b151;cf08a151
