new_name;labels;L_beliefs_deel4_3p.dta;L_beliefs_deel3_total3p.dta;L_beliefs_deel2_3p.dta;L_beliefs_deel1_4p.dta
evaop2j;EVAOP2J;evaop2j;evaop2j;;
evaop2k;EVAOP2K;evaop2k;evaop2k;;
evaop2l;EVAOP2L;evaop2l;evaop2l;;
evaop2m;EVAOP2M;evaop2m;evaop2m;;
evaop2n;EVAOP2N;evaop2n;evaop2n;;
evaop2o;EVAOP2O;evaop2o;evaop2o;;
evaop2p;EVAOP2P;evaop2p;evaop2p;;
evaop2q;EVAOP2Q;evaop2q;evaop2q;;
evaop2r;EVAOP2R;evaop2r;evaop2r;;
evaop2s;EVAOP2S;evaop2s;evaop2s;;
evaop2t;EVAOP2T;evaop2t;evaop2t;;
evaop2u;EVAOP2U;evaop2u;evaop2u;;
evaop2v;EVAOP2V;evaop2v;evaop2v;;
evaop2w;EVAOP2W;evaop2w;evaop2w;;
evaop2x;EVAOP2X;evaop2x;evaop2x;;
evaop2y;EVAOP2Y;evaop2y;evaop2y;;
evaop2z;EVAOP2Z;evaop2z;evaop2z;;
evaop30;EVAOP30;evaop30;evaop30;;
evaop31;EVAOP31;evaop31;evaop31;;
evaop32;EVAOP32;evaop32;evaop32;;
evaop33;EVAOP33;evaop33;evaop33;;
evaop34;EVAOP34;evaop34;evaop34;;
evaop35;EVAOP35;evaop35;evaop35;;
evaop36;EVAOP36;evaop36;evaop36;;
evaop37;EVAOP37;evaop37;evaop37;;
evaop38;EVAOP38;evaop38;evaop38;;
evaop39;EVAOP39;evaop39;evaop39;;
evaop3a;EVAOP3A;evaop3a;evaop3a;;
evaop3b;EVAOP3B;evaop3b;evaop3b;;
evaop3c;EVAOP3C;evaop3c;evaop3c;;
evaop3d;EVAOP3D;evaop3d;evaop3d;;
evaop3e;EVAOP3E;evaop3e;evaop3e;;
evaop3f;EVAOP3F;evaop3f;evaop3f;;
evaop3g;EVAOP3G;evaop3g;evaop3g;;
evaop3h;EVAOP3H;evaop3h;evaop3h;;
evaop3i;EVAOP3I;evaop3i;evaop3i;;
evaop3j;EVAOP3J;evaop3j;evaop3j;;
evaop3k;EVAOP3K;evaop3k;evaop3k;;
evaop3l;EVAOP3L;evaop3l;evaop3l;;
evaop3m;EVAOP3M;evaop3m;evaop3m;;
answer_yield_comparison;;p4;;;
answer_risk_comparison;;p5;;;
philips1;Philips1;;philips1;;
philips2;Philips2;;philips2;;
philips3;Philips3;;philips3;;
philips4;Philips4;;philips4;;
philips5;Philips5;;philips5;;
philips6;Philips6;;philips6;;
philips7;Philips7;;philips7;;
philips8;Philips8;;philips8;;
investpo;;investpo;;;
v14;v1;;;v14;
awareness_market_development;;v2;;v2;
source_financial_advice;;v3;;;
choice_lottery_a;;;;v3a;
choice_lottery_b;;;;v3b;
choice_lottery_c;;;;v3c;
choice_lottery_d;;;;v3d;
choice_lottery_e;;;;v3e;
frequency_deliberate_investment;;v4;;v4;
feeling_adequately_informed;;v5;;v5;
stock_market_too_risky;;v6;;v6;
v9;v1;v9;;;
beliefwin;;beliefwin;;;
