new_name;labels;cs19l_EN_1.0p.dta;cs18k_EN_1.0p.dta;cs17j_EN_1.0p.dta;cs16i_EN_1.0p.dta;cs15h_EN_1.0p.dta;cs14g_EN_1.0.dta;cs13f_1.0p_EN.dta;cs12e_1.0p_EN.dta;cs11d_EN_3.0p.dta;cs10c_1p_EN.dta;cs09b_1p_EN.dta;cs08a_2p_EN.dta
tv_days;How many days do you watch television per week on average? If you do not watch;cs19l124;cs18k124;cs17j124;cs16i124;cs15h124;cs14g124;cs13f124;cs12e124;cs11d124;cs10c124;cs09b124;cs08a124
tv_hours;watching television average time expenditure on days that apply: hours;cs19l125;cs18k125;cs17j125;cs16i125;cs15h125;cs14g125;cs13f125;cs12e125;cs11d125;cs10c125;cs09b125;cs08a125
tv_minutes;watching television average time expenditure on days that apply: minutes;cs19l126;cs18k126;cs17j126;cs16i126;cs15h126;cs14g126;cs13f126;cs12e126;cs11d126;cs10c126;cs09b126;cs08a126
radio_days;How many days do you listen to the radio per week on average? If you do not lis;cs19l127;cs18k127;cs17j127;cs16i127;cs15h127;cs14g127;cs13f127;cs12e127;cs11d127;cs10c127;cs09b127;cs08a127
radio_hours;listening to the radio average time expenditure on days that apply: hours;cs19l128;cs18k128;cs17j128;cs16i128;cs15h128;cs14g128;cs13f128;cs12e128;cs11d128;cs10c128;cs09b128;cs08a128
radio_minutes;listening to the radio average time expenditure on days that apply: minutes;cs19l129;cs18k129;cs17j129;cs16i129;cs15h129;cs14g129;cs13f129;cs12e129;cs11d129;cs10c129;cs09b129;cs08a129
read_book;Did you read one or more books from beginning to end over the past month (30 day;cs19l130;cs18k130;cs17j130;cs16i130;cs15h130;cs14g130;cs13f130;cs12e130;cs11d130;cs10c130;cs09b130;cs08a130
number_books;How many books did you read from beginning to end over the past month (30 days);cs19l131;cs18k131;cs17j131;cs16i131;cs15h131;cs14g131;cs13f131;cs12e131;cs11d131;cs10c131;cs09b131;cs08a131
musical_instrument_d;last 12 months spent time on a regular basis on: playing a musical instrument;cs19l132;cs18k132;cs17j132;cs16i132;cs15h132;cs14g132;cs13f132;cs12e132;cs11d132;cs10c132;cs09b132;cs08a132
singing_d;last 12 months spent time on a regular basis on: singing/choir/singing group;cs19l133;cs18k133;cs17j133;cs16i133;cs15h133;cs14g133;cs13f133;cs12e133;cs11d133;cs10c133;cs09b133;cs08a133
small_jobs_d;last 12 months spent time on a regular basis on: small jobs in and around the h;cs19l134;cs18k134;cs17j134;cs16i134;cs15h134;cs14g134;cs13f134;cs12e134;cs11d134;cs10c134;cs09b134;cs08a134
model_building_d;last 12 months spent time on a regular basis on: model building;cs19l135;cs18k135;cs17j135;cs16i135;cs15h135;cs14g135;cs13f135;cs12e135;cs11d135;cs10c135;cs09b135;cs08a135
handicrafts_d;last 12 months spent time on a regular basis on: handicrafts painting drawing;cs19l136;cs18k136;cs17j136;cs16i136;cs15h136;cs14g136;cs13f136;cs12e136;cs11d136;cs10c136;cs09b136;cs08a136
photography_d;last 12 months spent time on a regular basis on: photography;cs19l137;cs18k137;cs17j137;cs16i137;cs15h137;cs14g137;cs13f137;cs12e137;cs11d137;cs10c137;cs09b137;cs08a137
plants_d;last 12 months spent time on a regular basis on: caring for plants (including g;cs19l138;cs18k138;cs17j138;cs16i138;cs15h138;cs14g138;cs13f138;cs12e138;cs11d138;cs10c138;cs09b138;cs08a138
handwork_d;last 12 months spent time on a regular basis on: handwork;cs19l139;cs18k139;cs17j139;cs16i139;cs15h139;cs14g139;cs13f139;cs12e139;cs11d139;cs10c139;cs09b139;cs08a139
